Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,8,13,0,8,0,1,63,13,11,0,6,9,17
shoot2FGM,2,6,0,4,0,1,33,13,4,0,3,6,12
shoot2FTA,0,6,0,0,0,0,29,1,5,0,6,5,2
shoot2FTM,0,5,0,0,0,0,21,0,4,0,5,5,1
shoot2TO,1,2,1,0,0,0,5,1,1,0,2,0,0
shoot3FGA,5,7,0,2,0,1,10,0,0,11,1,0,1
shoot3FGM,3,4,0,0,0,1,5,0,0,3,1,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,1,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,5,6,0,22,0,0,24,11,1,0,0,1,1
pass2FGM,5,6,0,12,0,0,17,9,0,0,0,1,0
pass2FTA,0,0,0,8,0,0,17,15,0,0,0,0,2
pass2FTM,0,0,0,6,0,0,12,14,0,0,0,0,2
pass2TO,1,3,0,0,0,0,1,0,0,0,0,1,1
pass3FGA,4,3,0,17,0,0,29,12,8,0,0,0,0
pass3FGM,0,1,0,10,0,0,8,5,1,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,4,0,0,0,0,0,0
